CVS_file,column,dtype,unique,notnull,isna,description
bureau_balance,bureau_balance,SK_ID_BUREAU,int64,817395,27299925,0,
bureau_balance,MONTHS_BALANCE,int64,97,27299925,0,
bureau_balance,STATUS,object,8,27299925,0,
credit_card_balance,credit_card_balance,SK_ID_PREV,int64,104307,3840312,0,
credit_card_balance,SK_ID_CURR,int64,103558,3840312,0,
credit_card_balance,MONTHS_BALANCE,int64,96,3840312,0,
credit_card_balance,AMT_BALANCE,float64,1347904,3840312,0,
credit_card_balance,AMT_CREDIT_LIMIT_ACTUAL,int64,181,3840312,0,
credit_card_balance,AMT_DRAWINGS_ATM_CURRENT,float64,2267,3090496,749816,
credit_card_balance,AMT_DRAWINGS_CURRENT,float64,187005,3840312,0,
credit_card_balance,AMT_DRAWINGS_OTHER_CURRENT,float64,1832,3090496,749816,
credit_card_balance,AMT_DRAWINGS_POS_CURRENT,float64,168748,3090496,749816,
credit_card_balance,AMT_INST_MIN_REGULARITY,float64,312266,3535076,305236,
credit_card_balance,AMT_PAYMENT_CURRENT,float64,163209,3072324,767988,
credit_card_balance,AMT_PAYMENT_TOTAL_CURRENT,float64,182957,3840312,0,
credit_card_balance,AMT_RECEIVABLE_PRINCIPAL,float64,1195839,3840312,0,
credit_card_balance,AMT_RECIVABLE,float64,1338878,3840312,0,
credit_card_balance,AMT_TOTAL_RECEIVABLE,float64,1339008,3840312,0,
credit_card_balance,CNT_DRAWINGS_ATM_CURRENT,float64,44,3090496,749816,
credit_card_balance,CNT_DRAWINGS_CURRENT,int64,129,3840312,0,
credit_card_balance,CNT_DRAWINGS_OTHER_CURRENT,float64,11,3090496,749816,
credit_card_balance,CNT_DRAWINGS_POS_CURRENT,float64,133,3090496,749816,
credit_card_balance,CNT_INSTALMENT_MATURE_CUM,float64,121,3535076,305236,
credit_card_balance,NAME_CONTRACT_STATUS,object,7,3840312,0,
credit_card_balance,SK_DPD,int64,917,3840312,0,
credit_card_balance,SK_DPD_DEF,int64,378,3840312,0,
bureau,bureau,SK_ID_CURR,int64,305811,1716428,0,
bureau,SK_ID_BUREAU,int64,1716428,1716428,0,
bureau,CREDIT_ACTIVE,object,4,1716428,0,
bureau,CREDIT_CURRENCY,object,4,1716428,0,
bureau,DAYS_CREDIT,int64,2923,1716428,0,
bureau,CREDIT_DAY_OVERDUE,int64,942,1716428,0,
bureau,DAYS_CREDIT_ENDDATE,float64,14096,1610875,105553,
bureau,DAYS_ENDDATE_FACT,float64,2917,1082775,633653,
bureau,AMT_CREDIT_MAX_OVERDUE,float64,68251,591940,1124488,
bureau,CNT_CREDIT_PROLONG,int64,10,1716428,0,
bureau,AMT_CREDIT_SUM,float64,236708,1716415,13,
bureau,AMT_CREDIT_SUM_DEBT,float64,226537,1458759,257669,
bureau,AMT_CREDIT_SUM_LIMIT,float64,51726,1124648,591780,
bureau,AMT_CREDIT_SUM_OVERDUE,float64,1616,1716428,0,
bureau,CREDIT_TYPE,object,15,1716428,0,
bureau,DAYS_CREDIT_UPDATE,int64,2982,1716428,0,
bureau,AMT_ANNUITY,float64,40321,489637,1226791,
previous_application,previous_application,SK_ID_PREV,int64,1670214,1670214,0,
previous_application,SK_ID_CURR,int64,338857,1670214,0,
previous_application,NAME_CONTRACT_TYPE,object,4,1670214,0,
previous_application,AMT_ANNUITY,float64,357959,1297979,372235,
previous_application,AMT_APPLICATION,float64,93885,1670214,0,
previous_application,AMT_CREDIT,float64,86803,1670213,1,
previous_application,AMT_DOWN_PAYMENT,float64,29278,774370,895844,
previous_application,AMT_GOODS_PRICE,float64,93885,1284699,385515,
previous_application,WEEKDAY_APPR_PROCESS_START,object,7,1670214,0,
previous_application,HOUR_APPR_PROCESS_START,int64,24,1670214,0,
previous_application,FLAG_LAST_APPL_PER_CONTRACT,object,2,1670214,0,
previous_application,NFLAG_LAST_APPL_IN_DAY,int64,2,1670214,0,
previous_application,RATE_DOWN_PAYMENT,float64,207033,774370,895844,
previous_application,RATE_INTEREST_PRIMARY,float64,148,5951,1664263,
previous_application,RATE_INTEREST_PRIVILEGED,float64,25,5951,1664263,
previous_application,NAME_CASH_LOAN_PURPOSE,object,25,1670214,0,
previous_application,NAME_CONTRACT_STATUS,object,4,1670214,0,
previous_application,DAYS_DECISION,int64,2922,1670214,0,
previous_application,NAME_PAYMENT_TYPE,object,4,1670214,0,
previous_application,CODE_REJECT_REASON,object,9,1670214,0,
previous_application,NAME_TYPE_SUITE,object,7,849809,820405,
previous_application,NAME_CLIENT_TYPE,object,4,1670214,0,
previous_application,NAME_GOODS_CATEGORY,object,28,1670214,0,
previous_application,NAME_PORTFOLIO,object,5,1670214,0,
previous_application,NAME_PRODUCT_TYPE,object,3,1670214,0,
previous_application,CHANNEL_TYPE,object,8,1670214,0,
previous_application,SELLERPLACE_AREA,int64,2097,1670214,0,
previous_application,NAME_SELLER_INDUSTRY,object,11,1670214,0,
previous_application,CNT_PAYMENT,float64,49,1297984,372230,
previous_application,NAME_YIELD_GROUP,object,5,1670214,0,
previous_application,PRODUCT_COMBINATION,object,17,1669868,346,
previous_application,DAYS_FIRST_DRAWING,float64,2838,997149,673065,
previous_application,DAYS_FIRST_DUE,float64,2892,997149,673065,
previous_application,DAYS_LAST_DUE_1ST_VERSION,float64,4605,997149,673065,
